the_geom,OBJECTID,PARK,PARK_NO,FACILITY_N,FACILITY_T,X_COORD,Y_COORD,GISOBJID
POINT (-87.67812366342069 41.83183543774854),1232,HOYNE (THOMAS),1036,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,-87.67812366,41.83183544,2660
POINT (-87.67851267638504 41.831640468053166),1233,HOYNE (THOMAS),1036,BASEBALL JR/SOFTBALL,OUTDOOR,-87.67851268,41.83164047,2661
POINT (-87.67876470224849 41.831286206419826),1234,HOYNE (THOMAS),1036,PLAYGROUND,OUTDOOR,-87.6787647,41.83128621,2662
POINT (-87.67874134302753 41.83191172125258),1235,HOYNE (THOMAS),1036,VOLLEYBALL,OUTDOOR,-87.67874134,41.83191172,2663
POINT (-87.7501351436142 41.88898444069757),1236,HUBBARD (GURDON),1109,BASKETBALL COURT,OUTDOOR,-87.75013514,41.88898444,2664
POINT (-87.74983728676713 41.88881660039882),1237,HUBBARD (GURDON),1109,PLAYGROUND,OUTDOOR,-87.74983729,41.8888166,2665
POINT (-87.59523562700703 41.78220632345773),1238,HUCKLEBERRY,336,PLAYGROUND PARK,OUTDOOR,-87.59523563,41.78220632,2666
POINT (-87.6429925794213 41.838346949036904),1240,HUMBERT (JAMES),1121,PLAYGROUND PARK,OUTDOOR,-87.64299258,41.83834695,2668
POINT (-87.70307103664398 41.90090963329099),1241,HUMBOLDT (BARON VON),219,ARTIFICIAL TURF FIELD,OUTDOOR,-87.70307104,41.90090963,2669
POINT (-87.70511676711682 41.90013675800755),1242,HUMBOLDT (BARON VON),219,BASKETBALL COURT,OUTDOOR,-87.70511677,41.90013676,2670
POINT (-87.70486460476369 41.900147931641875),1243,HUMBOLDT (BARON VON),219,BASKETBALL COURT,OUTDOOR,-87.7048646,41.90014793,2671
POINT (-87.69979417506414 41.90920486507451),1244,HUMBOLDT (BARON VON),219,BASKETBALL COURT,OUTDOOR,-87.69979418,41.90920487,2672
POINT (-87.70370289261345 41.90636508222579),1245,HUMBOLDT (BARON VON),219,BEACH,OUTDOOR,-87.70370289,41.90636508,2673
POINT (-87.69887351093311 41.90683123443718),1246,HUMBOLDT (BARON VON),219,CASTING PIER,OUTDOOR,-87.69887351,41.90683123,2674
POINT (-87.70309497399738 41.90715885858443),1247,HUMBOLDT (BARON VON),219,FITNESS CENTER,INDOOR,-87.70309497,41.90715886,2675
POINT (-87.70291210556884 41.903827504871536),1248,HUMBOLDT (BARON VON),219,GARDEN,OUTDOOR,-87.70291211,41.9038275,2676
POINT (-87.69936549497385 41.906363186757275),1249,HUMBOLDT (BARON VON),219,GARDEN,OUTDOOR,-87.69936549,41.90636319,2677
POINT (-87.70268407398905 41.90706431082138),1250,HUMBOLDT (BARON VON),219,GYMNASIUM,INDOOR,-87.70268407,41.90706431,2678
POINT (-87.70379437591309 41.909026973578435),1251,HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR,-87.70379438,41.90902697,2679
POINT (-87.70336640523767 41.90896813479522),1252,HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR,-87.70336641,41.90896813,2680
POINT (-87.70203548224447 41.90844612325973),1253,HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR,-87.70203548,41.90844612,2681
POINT (-87.70255284826344 41.907959371019636),1254,HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR,-87.70255285,41.90795937,2682
POINT (-87.70359307346904 41.9081345555235),1255,HUMBOLDT (BARON VON),219,BASEBALL JR/SOFTBALL,OUTDOOR,-87.70359307,41.90813456,2683
POINT (-87.70523540360577 41.90603452393102),1256,HUMBOLDT (BARON VON),219,BASEBALL SR,OUTDOOR,-87.7052354,41.90603452,2684
