PARK,X_COORD,Y_COORD
LA FOLLETTE (ROBERT),-87.75130216,41.90457351
LA FOLLETTE (ROBERT),-87.75482991,41.90558275
LA FOLLETTE (ROBERT),-87.75442259,41.90436992
LA FOLLETTE (ROBERT),-87.75337206,41.90466478
LA FOLLETTE (ROBERT),-87.75158374,41.90446931
LAKE MEADOWS,-87.61248583,41.8375075
LAKE MEADOWS,-87.61270819,41.83756662
LAKE MEADOWS,-87.61156232,41.83706868
LAKE MEADOWS,-87.61189033,41.83744923
LAKE MEADOWS,-87.61146036,41.83792763
LAKE SHORE,-87.6198399,41.89723194
LAKE SHORE,-87.61999621,41.89722805
LAKE SHORE,-87.61783505,41.89713604
LAKE SHORE,-87.61788463,41.89727482
LAKE SHORE,-87.6185391,41.8971071
LAKE SHORE,-87.61958437,41.89737629
LAKE SHORE,-87.61785148,41.89746279
LAKE SHORE,-87.61822933,41.89739005
LAMB (HAROLD),-87.65771075,41.69603902
LAMB (HAROLD),-87.65730308,41.69619883
LANE (GEORGE) BEACH,-87.65424946,41.98975322
LANE (GEORGE) BEACH,-87.65498908,41.98991048
LANGDON (MARY MARGARET),-87.67487409,42.00188401
LANGLEY,-87.6055553,41.68964183
LANGLEY,-87.60571309,41.68935615
LAWLER (MICHAEL),-87.75184019,41.77655569
LAWLER (MICHAEL),-87.75156979,41.77670897
LAWLER (MICHAEL),-87.75157322,41.77680565
LAWLER (MICHAEL),-87.75069225,41.77671663
LAWLER (MICHAEL),-87.75159134,41.77653137
LAWLER (MICHAEL),-87.7511833,41.77683848
LAWLER (MICHAEL),-87.75002122,41.77660782
LAWLER (MICHAEL),-87.75235725,41.77677872
LAWLER (MICHAEL),-87.75238206,41.77658866
LAZARUS (EMMA),-87.66319003,42.00417767
LE CLAIRE COURTS - HEARST COMM. CTR.,-87.74997677,41.8137168
LE CLAIRE COURTS - HEARST COMM. CTR.,-87.74924595,41.81373227
LE CLAIRE COURTS - HEARST COMM. CTR.,-87.75131339,41.81333519
LE CLAIRE COURTS - HEARST COMM. CTR.,-87.75282046,41.81317628
LE CLAIRE COURTS - HEARST COMM. CTR.,-87.75035533,41.81354972
LE CLAIRE COURTS - HEARST COMM. CTR.,-87.74926631,41.81338787
LE CLAIRE COURTS - HEARST COMM. CTR.,-87.75080611,41.81280459
LE CLAIRE COURTS - HEARST COMM. CTR.,-87.75229104,41.81323223
LE CLAIRE COURTS - HEARST COMM. CTR.,-87.75211474,41.81323134
LEE (JOHN),-87.7144637,41.73526552
LEGION,-87.70819827,41.98905745
LEGION,-87.70795352,41.98909326
LEGION,-87.7079241,41.98411083
LEGION,-87.70589969,41.98210396
LEGION,-87.70599116,41.98164152
LEGION,-87.70630352,41.98260366
LEGION,-87.70538422,41.98113769
LEGION,-87.70667367,41.98460772
LEGION,-87.70830513,41.9851036
LEGION,-87.70791322,41.98858656
LEGION,-87.70514185,41.98026795
LEGION,-87.70910241,41.98816848
LEGION,-87.70926602,41.98812541
LELAND GIANTS,-87.64085232,41.7569386
LELAND GIANTS,-87.64139939,41.75745081
LEONE (SAM) BEACH,-87.66156824,42.01313386
